#GRB	Trigger Julian Date	T90	Redshift	Redshift reference
180111A	2458130.1959	50.6	--	--
180102A	2458121.15954	10.8	--	--
171222A	2458110.18402	174.8	2.409 (GTC: absorption)	 GCN 22272 (GTC)
171216A	2458103.62985	30.0	--	--
171212A	2458099.99816	320.0	--	--
171211A	2458098.89412	2.32	--	--
171209A	2458097.11546	161.7	--	--
171205A	2458092.80605	189.4	0.0368 (VLT: emission & absorption)	 GCN 22180 (VLT)<br><strong>Host:</strong> GCN 22178
171123A	2458081.0936	58.5	--	--
171120A	2458078.05558	64.0	--	--
171115A	2458073.28565	38.2	--	--
171103A	2458061.46565	3.9	--	--
171102B	2458060.13922	17.8	--	--
171027A	2458053.84938	96.6	--	--
171020A	2458047.46331	41.9	1.87 (NOT: absorption)	 GCN 22039 (NOT)
171011A	2458038.27277	2.27	--	--
171010B	2458037.37459	30.4	--	--
171007A	2458033.99836	105.0	--	--
171004A	2458030.83023	107.1	--	--
171001A	2458028.26782	22.8	--	--
170921A	2458018.10333	28.9	--	--
170912B	2458008.77345	19.6	--	--
170912A	2458008.56546	21.9	--	--
170906C	2458002.80992	48.4	--	--
170906A	2458002.52999	88.1	--	--
170903A	2458000.03411	29.2	0.886 (GTC: emission from host)	 GCN 21799 (GTC)<br><strong>Host:</strong> GCN 21799 (GTC)
170827A	2457992.71699	94.0	--	--
170823A	2457989.42833	69.4	--	--
170822A	2457987.88323	64.0	--	--
170813A	2457978.55088	75.5	--	--
170810A	2457976.41784	152.4	--	--
170807A	2457973.41399	48.5	--	--
170804A	2457970.00112	43.4	--	--
170803A	2457969.22948	3.82	--	--
170728B	2457963.46064	47.7	--	--
170728A	2457962.78713	1.25	--	--
170724A	2457958.53384	98.0	--	--
170711A	2457946.43084	31.3	--	--
170710B	2457944.84035	54.4	--	--
170710A	2457944.53176	32.6	--	--
170705A	2457939.61513	217.3	2.010 (GTC: absorption)	 GCN 21298 (GTC)
170629A	2457934.03719	34.4	--	--
170626A	2457930.90096	12.94	--	--
170604A	2457909.2978	26.7	1.329 (GTC: absorption)	 GCN 21197 (GTC)
170531B	2457905.41816	164.13	2.366 (GTC: absorption)<br>Consistent with GTC results (WHT)	 GCN 21177 (GTC); GCN 21209 (WHT)
170531A	2457905.33856	26.74	--	--
170526A	2457900.06606	7.9	--	--
170524B	2457897.94491	46.4	--	--
170524A	2457898.32587	0.1	--	--
170519A	2457892.7153	216.4	0.818 (GTC: absorption)	 GCN 21119 (GTC)
170516A	2457890.03426	36.78	--	--
170428A	2457871.88451	0.2	--	--
170419B	2457863.39845	77.2	--	--
170419A	2457863.06019	8.18	--	--
170405A	2457849.27764	164.7	3.510 (GTC: absorption)	 GCN 20990 (GTC)
170331A	2457843.56998	17.57	--	--
170330A	2457843.4374	144.73	--	--
170325A	2457837.83123	0.3	--	--
170318B	2457831.14435	160.0	--	--
170318A	2457831.00829	133.7	--	--
170317A	2457829.90693	11.94	--	--
170311A	2457823.83937	6.32	--	--
170307A	2457820.35024	56.92	--	--
170306A	2457818.79597	17.8	--	--
170208B	2457793.44002	128.07	--	--
170208A	2457793.25782	7.45	--	--
170206B	2457791.41487	13.36	--	--
170205A	2457790.02719	26.1	--	--
170203A	2457787.50256	45.2	--	--
170202A	2457787.26947	46.2	3.645 (GTC: absorption and emission)<br>3.65 (Xinglong: absorption)<br>3.645 (VLT: absorption and emission)	 GCN 20584 (GTC); GCN 20588 (Xinglong); GCN 20589 (VLT); GCN 20590 (VLT)
170127B	2457781.13435	0.51	--	--
170127A	2457781.09809	62.26	--	--
170126A	2457779.97965	9.5	--	--
170115A	2457769.36815	48.0	--	--
170113A	2457766.9195	20.66	1.968 (VLT: absorption)	 GCN 20458 (VLT)
170112A	2457765.58472	0.06	--	--
170111A	2457764.52324	29.9	--	--
170101A	2457754.6014	2.43	--	--
161224A	2457747.4261	47.04	--	--
161220A	2457742.8566	6.0	--	--
161219B	2457742.28378	6.94	0.1475 (VLT: absorption)<br> 0.1475 (GTC: absorption)	 GCN 20321 (VLT)
161218A	2457740.65806	7.1	--	--
161217A	2457739.56081	18.2	--	--
161214B	2457737.22234	24.8	--	--
161129A	2457721.79976	35.53	0.645 (GTC: emission from host))	 GCN 20245 (GTC)<br><strong>Host:</strong> GCN 20244 (NOT)
161117B	2457709.90953	152.51	--	--
161117A	2457709.56639	125.7	1.549 (VLT: absorption)	 GCN 20180 (VLT)
161113A	2457706.22947	42.6	--	--
161108A	2457700.6476	105.1	1.159 (NOT: absorption & emission)	 GCN 20150 (NOT)<br><strong>Host:</strong> GCN 20150 (NOT)
161105A	2457697.7035	177.3	--	--
161104A	2457696.90447	0.1	--	--
161022A	2457683.61366	7.3	--	--
161017A	2457679.24434	216.3	2.0127 (GTC: absorption)<br>2.01 (TNG: absorption)	 GCN 20069 (GTC); GCN 20077 (GTC); GCN 20078 (TNG)
161014A	2457676.02178	18.3	2.823 (GTC: absorption)<br>2.823 (VLT: absorption)	 GCN 20043 (GTC); GCN 20061 (VLT)
161011A	2457672.74646	4.3	--	--
161007A	2457669.39286	201.7	--	--
161004B	2457666.46388	15.9	--	--
161001A	2457662.54532	2.6	--	--
160927A	2457659.25334	0.48	--	--
160917A	2457648.97939	16.0	--	--
160905A	2457636.9715	64.0	--	--
160827A	2457628.15747	13.3	--	--
160826A	2457626.75877	52.6	--	--
160824A	2457625.4739	99.3	--	--
160821B	2457622.43696	0.48	--	--
160815A	2457615.98971	8.6	--	--
160804A	2457604.56443	144.2	0.736 (VLT: absorption & emission)	 GCN 19773 (VLT)<br><strong>Host:</strong> GCN 19768 (MASTER-SAAO); GCN 19770 (TNG)
160801A	2457601.89479	2.85	--	--
160726A	2457595.56536	0.7	--	--
160716A	2457585.54757	6.39	--	--
160714A	2457583.5967	0.35	--	--
160709A	2457579.32573	4.8	--	--
160705B	2457575.37647	54.4	--	--
160703A	2457573.007	44.4	The detection in all UVOT filters is consistent with a redshift of z < ~1.5	#Problem parsing ref#
160630A	2457569.66955	29.5	--	--
160625A	2457565.4448	53.9	--	--
160624A	2457563.97709	0.2	0.483 (Gemini-North: emission, possible host)	 GCN 19565 (Gemini-North)<br><strong>Host:</strong> GCN 19565 (Gemini-North)
160611A	2457551.40317	34.1	--	--
